monstats_id,display_name,name_str,base_id,ai,enabled,threat,superunique_refs,raw_family,family_group,broad_archetype,family_source,classification_confidence,combat_relevant,danger_priority,danger_label,combat_tags,threat_vector_primary,threat_vector_secondary,engagement_profile,mobility_class,burst_pressure_rating,control_pressure_rating,attrition_pressure_rating,spawn_pressure_rating,threat_rollup_rating,threat_intensity_rating,human_consensus_score,human_consensus_band,consensus_source_bucket,target_priority_score,avoidance_priority,needs_line_of_sight_break,needs_corpse_control,needs_debuff_response,is_light_mover,is_exploder,is_archer,is_ranged_attacker,is_life_drain,is_mana_drain,is_viper_cloud,is_frenzy_melee,is_projectile_burst,is_debuff_source,is_critical_threat,is_super_critical_threat
bonefetish6,Undead Stygian Doll,Undead StygianDoll,bonefetish1,Fetish,1,10,,undeadfetish,fetish_tribe,undead,mon_type,high,True,6,super_critical,archetype_undead|aura_scaling|critical_threat|doll_exploder|explode|light_mover|melee_attacker|on_death_hazard|super_critical_threat,on_death_burst,melee_pressure,suicide_rusher,fast,3,0,0,0,2,6,100,run_ending,community_run_ending,100,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True
bonefetish5,Undead Stygian Doll,Undead StygianDoll,bonefetish1,Fetish,1,10,,undeadfetish,fetish_tribe,undead,mon_type,high,True,6,super_critical,archetype_undead|aura_scaling|critical_threat|doll_exploder|explode|light_mover|melee_attacker|on_death_hazard|super_critical_threat,on_death_burst,melee_pressure,suicide_rusher,fast,3,0,0,0,2,6,100,run_ending,community_run_ending,100,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True
bonefetish7,Undead Soul Killer,Undead SoulKiller,bonefetish1,Fetish,1,10,,undeadfetish,fetish_tribe,undead,mon_type,high,True,6,super_critical,archer|archetype_undead|aura_scaling|critical_threat|doll_exploder|elemental_lightning|explode|life_drain|light_mover|on_death_hazard|ranged_attacker|ranged_magic|super_critical_threat,on_death_burst,attrition_drain,suicide_rusher,fast,3,0,3,0,3,6,100,run_ending,community_run_ending,100,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True
bonefetish4,Undead Soul Killer,Undead SoulKiller,bonefetish1,Fetish,1,10,,undeadfetish,fetish_tribe,undead,mon_type,high,True,6,super_critical,archer|archetype_undead|aura_scaling|critical_threat|doll_exploder|elemental_lightning|explode|life_drain|light_mover|on_death_hazard|ranged_attacker|ranged_magic|super_critical_threat,on_death_burst,attrition_drain,suicide_rusher,fast,3,0,3,0,3,6,100,run_ending,community_run_ending,100,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True
fetishblow7,Stygian Doll,StygianDoll,fetishblow1,FetishBlowgun,1,10,,fetish,fetish_tribe,demon,mon_type,high,True,6,super_critical,archetype_demon|aura_scaling|critical_threat|doll_exploder|explode|light_mover|melee_attacker|on_death_hazard|super_critical_threat,on_death_burst,melee_pressure,suicide_rusher,fast,3,0,0,0,2,6,100,run_ending,community_run_ending,100,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True
fetishblow5,Stygian Doll,StygianDoll,fetishblow1,FetishBlowgun,1,10,,fetish,fetish_tribe,demon,mon_type,high,True,6,super_critical,archetype_demon|aura_scaling|critical_threat|doll_exploder|explode|light_mover|melee_attacker|on_death_hazard|super_critical_threat,on_death_burst,melee_pressure,suicide_rusher,fast,3,0,0,0,2,6,100,run_ending,community_run_ending,100,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True
fetish7,Stygian Doll,StygianDoll,fetish1,Fetish,1,10,,fetish,fetish_tribe,demon,mon_type,high,True,6,super_critical,archetype_demon|aura_scaling|critical_threat|doll_exploder|explode|light_mover|melee_attacker|on_death_hazard|super_critical_threat,on_death_burst,melee_pressure,suicide_rusher,fast,3,0,0,0,2,6,100,run_ending,community_run_ending,100,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True
fetish5,Stygian Doll,StygianDoll,fetish1,Fetish,1,10,,fetish,fetish_tribe,demon,mon_type,high,True,6,super_critical,archetype_demon|aura_scaling|critical_threat|doll_exploder|explode|light_mover|melee_attacker|on_death_hazard|super_critical_threat,on_death_burst,melee_pressure,suicide_rusher,fast,3,0,0,0,2,6,100,run_ending,community_run_ending,100,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True
fetishblow8,Soul Killer,SoulKiller,fetishblow1,FetishBlowgun,1,10,,fetish,fetish_tribe,demon,mon_type,high,True,6,super_critical,archer|archetype_demon|aura_scaling|critical_threat|doll_exploder|elemental_lightning|explode|life_drain|light_mover|on_death_hazard|ranged_attacker|ranged_magic|super_critical_threat,on_death_burst,attrition_drain,suicide_rusher,fast,3,0,3,0,3,6,100,run_ending,community_run_ending,100,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True
fetishblow4,Soul Killer,SoulKiller,fetishblow1,FetishBlowgun,1,10,,fetish,fetish_tribe,demon,mon_type,high,True,6,super_critical,archer|archetype_demon|aura_scaling|critical_threat|doll_exploder|elemental_lightning|explode|life_drain|light_mover|on_death_hazard|ranged_attacker|ranged_magic|super_critical_threat,on_death_burst,attrition_drain,suicide_rusher,fast,3,0,3,0,3,6,100,run_ending,community_run_ending,100,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True
fetish8,Soul Killer,SoulKiller,fetish1,Fetish,1,10,,fetish,fetish_tribe,demon,mon_type,high,True,6,super_critical,archer|archetype_demon|aura_scaling|critical_threat|doll_exploder|elemental_lightning|explode|life_drain|light_mover|on_death_hazard|ranged_attacker|ranged_magic|super_critical_threat,on_death_burst,attrition_drain,suicide_rusher,fast,3,0,3,0,3,6,100,run_ending,community_run_ending,100,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True
fetish4,Soul Killer,SoulKiller,fetish1,Fetish,1,10,,fetish,fetish_tribe,demon,mon_type,high,True,6,super_critical,archer|archetype_demon|aura_scaling|critical_threat|doll_exploder|elemental_lightning|explode|life_drain|light_mover|on_death_hazard|ranged_attacker|ranged_magic|super_critical_threat,on_death_burst,attrition_drain,suicide_rusher,fast,3,0,3,0,3,6,100,run_ending,community_run_ending,100,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True
willowisp5,Gloam,Gloam,willowisp1,WillOWisp,1,10,,willowisp,arcane_spirit,spirit,mon_type,high,True,6,super_critical,archer|archetype_spirit|aura_scaling|critical_threat|elemental_lightning|life_drain|lightning_sniper|mana_drain|projectile_burst|ranged_attacker|ranged_magic|super_critical_threat,ranged_burst,attrition_drain,sniper,kiting,3,0,3,0,3,6,100,run_ending,community_run_ending,100,True,True,False,False,False,False,True,True,True,True,False,False,True,False,True,True
